v1	I(V1)	I(V1)*v1
Step Information: Sun=200m Sun2=400m Sun3=600m  (Run: 1/60)
1.009999999999998e+001	5.095117e+000	5.146068e+001
1.019999999999998e+001	5.095039e+000	5.196940e+001
1.029999999999998e+001	5.094959e+000	5.247808e+001
1.039999999999998e+001	5.094875e+000	5.298670e+001
1.049999999999998e+001	5.094788e+000	5.349527e+001
1.059999999999998e+001	5.094697e+000	5.400378e+001
1.069999999999998e+001	5.094601e+000	5.451223e+001
1.079999999999998e+001	5.094502e+000	5.502062e+001
1.089999999999998e+001	5.094398e+000	5.552894e+001
1.099999999999998e+001	5.094289e+000	5.603718e+001
1.109999999999998e+001	5.094175e+000	5.654535e+001
1.119999999999998e+001	5.094056e+000	5.705342e+001
1.129999999999998e+001	5.093930e+000	5.756141e+001
1.139999999999998e+001	5.093798e+000	5.806929e+001
1.149999999999998e+001	5.093658e+000	5.857707e+001
1.159999999999998e+001	5.093512e+000	5.908474e+001
1.169999999999997e+001	5.093357e+000	5.959228e+001
1.179999999999997e+001	5.093194e+000	6.009968e+001
1.189999999999997e+001	5.093020e+000	6.060694e+001
1.199999999999997e+001	5.092837e+000	6.111405e+001
1.209999999999997e+001	5.092644e+000	6.162099e+001
1.219999999999997e+001	5.092439e+000	6.212775e+001
1.229999999999997e+001	5.092221e+000	6.263432e+001
1.239999999999997e+001	5.091990e+000	6.314068e+001
1.249999999999997e+001	5.091744e+000	6.364681e+001
1.259999999999997e+001	5.091484e+000	6.415269e+001
1.269999999999997e+001	5.091206e+000	6.465832e+001
1.279999999999997e+001	5.090911e+000	6.516366e+001
1.289999999999997e+001	5.090597e+000	6.566870e+001
1.299999999999997e+001	5.090262e+000	6.617341e+001
1.309999999999997e+001	5.089905e+000	6.667776e+001
1.319999999999997e+001	5.089525e+000	6.718173e+001
1.329999999999997e+001	5.089119e+000	6.768528e+001
1.339999999999997e+001	5.088686e+000	6.818839e+001
1.349999999999997e+001	5.088223e+000	6.869102e+001
1.359999999999997e+001	5.087729e+000	6.919312e+001
1.369999999999997e+001	5.087202e+000	6.969466e+001
1.379999999999997e+001	5.086637e+000	7.019560e+001
1.389999999999997e+001	5.086034e+000	7.069587e+001
1.399999999999997e+001	5.085389e+000	7.119544e+001
1.409999999999997e+001	5.084699e+000	7.169425e+001
1.419999999999997e+001	5.083960e+000	7.219223e+001
1.429999999999997e+001	5.083169e+000	7.268932e+001
1.439999999999997e+001	5.082323e+000	7.318545e+001
1.449999999999996e+001	5.081417e+000	7.368054e+001
1.459999999999996e+001	5.080446e+000	7.417451e+001
1.469999999999996e+001	5.079406e+000	7.466727e+001
1.479999999999996e+001	5.078291e+000	7.515871e+001
1.489999999999996e+001	5.077097e+000	7.564875e+001
1.499999999999996e+001	5.075818e+000	7.613726e+001
1.509999999999996e+001	5.074446e+000	7.662413e+001
1.519999999999996e+001	5.072975e+000	7.710922e+001
1.529999999999996e+001	5.071398e+000	7.759239e+001
1.539999999999996e+001	5.069707e+000	7.807349e+001
1.549999999999996e+001	5.067894e+000	7.855236e+001
1.559999999999996e+001	5.065949e+000	7.902881e+001
1.569999999999996e+001	5.063863e+000	7.950265e+001
1.579999999999996e+001	5.061626e+000	7.997369e+001
1.589999999999996e+001	5.059226e+000	8.044169e+001
1.599999999999996e+001	5.056650e+000	8.090640e+001
1.609999999999996e+001	5.053887e+000	8.136758e+001
1.619999999999996e+001	5.050922e+000	8.182494e+001
1.629999999999996e+001	5.047741e+000	8.227819e+001
1.639999999999996e+001	5.044328e+000	8.272697e+001
1.649999999999996e+001	5.040665e+000	8.317097e+001
1.659999999999997e+001	5.036734e+000	8.360978e+001
1.669999999999997e+001	5.032515e+000	8.404300e+001
1.679999999999997e+001	5.027988e+000	8.447020e+001
1.689999999999997e+001	5.023129e+000	8.489089e+001
1.699999999999997e+001	5.017915e+000	8.530456e+001
1.709999999999997e+001	5.012319e+000	8.571066e+001
1.719999999999997e+001	5.006313e+000	8.610859e+001
1.729999999999998e+001	4.999868e+000	8.649771e+001
1.739999999999998e+001	4.992951e+000	8.687735e+001
1.749999999999998e+001	4.985527e+000	8.724672e+001
1.759999999999998e+001	4.977561e+000	8.760507e+001
1.769999999999998e+001	4.969011e+000	8.795150e+001
1.779999999999998e+001	4.959837e+000	8.828510e+001
1.789999999999998e+001	4.949992e+000	8.860486e+001
1.799999999999999e+001	4.939428e+000	8.890971e+001
1.809999999999999e+001	4.928094e+000	8.919850e+001
1.819999999999999e+001	4.915933e+000	8.946997e+001
1.829999999999999e+001	4.902885e+000	8.972279e+001
