v1	I(V1)	I(V1)*V1
1.030000000000000e+002	7.463202e+000	7.687098e+002
1.040000000000000e+002	7.403959e+000	7.700117e+002
1.050000000000000e+002	7.333368e+000	7.700037e+002
1.060000000000000e+002	7.248601e+000	7.683517e+002
1.070000000000000e+002	7.145515e+000	7.645701e+002
1.080000000000000e+002	7.017917e+000	7.579351e+002
1.090000000000000e+002	6.856933e+000	7.474057e+002
1.100000000000000e+002	6.651355e+000	7.316490e+002
1.110000000000000e+002	6.389682e+000	7.092547e+002
1.120000000000000e+002	6.062649e+000	6.790167e+002
1.130000000000000e+002	5.664038e+000	6.400363e+002
1.140000000000000e+002	5.189838e+000	5.916415e+002
1.150000000000000e+002	4.637868e+000	5.333549e+002
1.160000000000000e+002	4.012271e+000	4.654234e+002
1.170000000000000e+002	3.460162e+000	4.048390e+002
1.180000000000000e+002	3.115497e+000	3.676286e+002
1.190000000000000e+002	3.046294e+000	3.625090e+002
1.200000000000000e+002	3.025446e+000	3.630535e+002
1.210000000000000e+002	3.001614e+000	3.631953e+002
1.220000000000000e+002	2.974373e+000	3.628735e+002
1.230000000000000e+002	2.943256e+000	3.620205e+002
1.240000000000000e+002	2.907742e+000	3.605600e+002
1.250000000000000e+002	2.867245e+000	3.584056e+002
1.260000000000000e+002	2.821117e+000	3.554608e+002
1.270000000000000e+002	2.768638e+000	3.516170e+002
1.280000000000000e+002	2.709012e+000	3.467535e+002
1.290000000000000e+002	2.641363e+000	3.407358e+002
1.300000000000000e+002	2.564738e+000	3.334159e+002
1.310000000000000e+002	2.478102e+000	3.246313e+002
1.320000000000000e+002	2.380349e+000	3.142061e+002
1.330000000000000e+002	2.270326e+000	3.019534e+002
1.340000000000000e+002	2.146886e+000	2.876827e+002
1.350000000000000e+002	2.009045e+000	2.712211e+002
1.360000000000000e+002	1.856521e+000	2.524868e+002
1.370000000000000e+002	1.692689e+000	2.318984e+002
1.380000000000000e+002	1.582743e+000	2.184185e+002
1.390000000000000e+002	1.581846e+000	2.198766e+002
1.400000000000000e+002	1.581366e+000	2.213912e+002
1.410000000000000e+002	1.580852e+000	2.229002e+002
1.420000000000000e+002	1.580290e+000	2.244012e+002
1.430000000000000e+002	1.579659e+000	2.258913e+002
1.440000000000000e+002	1.578930e+000	2.273659e+002
1.450000000000000e+002	1.578059e+000	2.288186e+002
1.460000000000000e+002	1.576988e+000	2.302402e+002
1.470000000000000e+002	1.575629e+000	2.316175e+002
1.480000000000000e+002	1.573862e+000	2.329316e+002
1.490000000000000e+002	1.571515e+000	2.341557e+002
1.500000000000000e+002	1.568343e+000	2.352515e+002
1.510000000000000e+002	1.564007e+000	2.361650e+002
1.520000000000000e+002	1.558031e+000	2.368207e+002
1.530000000000000e+002	1.549762e+000	2.371135e+002
1.540000000000000e+002	1.538315e+000	2.369005e+002
1.550000000000000e+002	1.522516e+000	2.359899e+002
1.560000000000000e+002	1.500849e+000	2.341324e+002
1.570000000000000e+002	1.471427e+000	2.310140e+002
1.580000000000000e+002	1.432007e+000	2.262570e+002
1.590000000000000e+002	1.380061e+000	2.194296e+002
1.600000000000000e+002	1.312914e+000	2.100662e+002
1.610000000000000e+002	1.227917e+000	1.976946e+002
1.620000000000000e+002	1.122613e+000	1.818633e+002
1.630000000000000e+002	9.948611e-001	1.621624e+002
1.640000000000000e+002	8.429009e-001	1.382357e+002
1.650000000000000e+002	6.654175e-001	1.097939e+002
1.660000000000000e+002	4.617672e-001	7.665335e+001
1.670000000000000e+002	2.332099e-001	3.894605e+001
1.680000000000000e+002	7.552769e-004	1.268865e-001
1.690000000000000e+002	-2.346485e-002	-3.965560e+000
1.700000000000000e+002	-2.399616e-002	-4.079347e+000
1.710000000000000e+002	-2.455509e-002	-4.198920e+000
1.720000000000000e+002	-2.514758e-002	-4.325383e+000
1.730000000000000e+002	-2.578091e-002	-4.460098e+000
1.740000000000000e+002	-2.646397e-002	-4.604732e+000
1.750000000000000e+002	-2.720762e-002	-4.761333e+000
