v4	Ix(x1:MINS)	Ix(x1:MINS)*v4	Ix(x2:MINS)	Ix(x2:MINS)*v4	Ix(x3:MINS)	Ix(x3:MINS)*v4
1.940000000000001e+001	1.482687e+000	2.876414e+001	2.978274e+000	5.777852e+001	4.972121e+000	9.645915e+001
1.950000000000001e+001	1.474379e+000	2.875040e+001	2.969642e+000	5.790802e+001	4.963037e+000	9.677921e+001
1.960000000000001e+001	1.465461e+000	2.872303e+001	2.960375e+000	5.802335e+001	4.953284e+000	9.708437e+001
1.970000000000001e+001	1.455887e+000	2.868097e+001	2.950427e+000	5.812342e+001	4.942816e+000	9.737347e+001
1.980000000000001e+001	1.445609e+000	2.862306e+001	2.939749e+000	5.820703e+001	4.931578e+000	9.764525e+001
1.990000000000001e+001	1.434577e+000	2.854808e+001	2.928287e+000	5.827290e+001	4.919516e+000	9.789837e+001
2.000000000000001e+001	1.422735e+000	2.845470e+001	2.915983e+000	5.831966e+001	4.906569e+000	9.813139e+001
2.010000000000002e+001	1.410024e+000	2.834149e+001	2.902777e+000	5.834582e+001	4.892673e+000	9.834273e+001
2.020000000000002e+001	1.396381e+000	2.820690e+001	2.888603e+000	5.834978e+001	4.877759e+000	9.853072e+001
2.030000000000002e+001	1.381738e+000	2.804929e+001	2.873390e+000	5.832982e+001	4.861752e+000	9.869356e+001
2.040000000000002e+001	1.366023e+000	2.786687e+001	2.857063e+000	5.828409e+001	4.844573e+000	9.882930e+001
2.050000000000002e+001	1.349157e+000	2.765772e+001	2.839542e+000	5.821061e+001	4.826139e+000	9.893585e+001
2.060000000000002e+001	1.331058e+000	2.741979e+001	2.820740e+000	5.810725e+001	4.806358e+000	9.901097e+001
2.070000000000002e+001	1.311636e+000	2.715086e+001	2.800565e+000	5.797169e+001	4.785133e+000	9.905225e+001
2.080000000000003e+001	1.290796e+000	2.684856e+001	2.778917e+000	5.780148e+001	4.762361e+000	9.905710e+001
2.090000000000003e+001	1.268436e+000	2.651032e+001	2.755692e+000	5.759396e+001	4.737929e+000	9.902272e+001
2.100000000000003e+001	1.244447e+000	2.613339e+001	2.730775e+000	5.734628e+001	4.711721e+000	9.894614e+001
2.110000000000003e+001	1.218713e+000	2.571484e+001	2.704047e+000	5.705539e+001	4.683609e+000	9.882414e+001
2.120000000000003e+001	1.191108e+000	2.525149e+001	2.675377e+000	5.671800e+001	4.653456e+000	9.865327e+001
2.130000000000003e+001	1.161500e+000	2.473995e+001	2.644629e+000	5.633059e+001	4.621120e+000	9.842987e+001
2.140000000000003e+001	1.129746e+000	2.417657e+001	2.611654e+000	5.588940e+001	4.586446e+000	9.814994e+001
2.150000000000004e+001	1.095695e+000	2.355744e+001	2.576296e+000	5.539036e+001	4.549268e+000	9.780926e+001
2.160000000000004e+001	1.059185e+000	2.287839e+001	2.538386e+000	5.482913e+001	4.509411e+000	9.740328e+001
2.170000000000004e+001	1.020042e+000	2.213491e+001	2.497746e+000	5.420109e+001	4.466689e+000	9.692715e+001
2.180000000000004e+001	9.780834e-001	2.132222e+001	2.454186e+000	5.350126e+001	4.420901e+000	9.637565e+001
2.190000000000004e+001	9.331126e-001	2.043517e+001	2.407503e+000	5.272431e+001	4.371836e+000	9.574321e+001
2.200000000000004e+001	8.849207e-001	1.946826e+001	2.357480e+000	5.186457e+001	4.319268e+000	9.502389e+001
2.210000000000004e+001	8.332857e-001	1.841562e+001	2.303889e+000	5.091594e+001	4.262957e+000	9.421134e+001
2.220000000000005e+001	7.779715e-001	1.727097e+001	2.246484e+000	4.987195e+001	4.202647e+000	9.329877e+001
2.230000000000005e+001	7.187270e-001	1.602761e+001	2.185008e+000	4.872567e+001	4.138069e+000	9.227894e+001
2.240000000000005e+001	6.552859e-001	1.467840e+001	2.119184e+000	4.746972e+001	4.068936e+000	9.114416e+001
2.250000000000005e+001	5.873656e-001	1.321573e+001	2.048722e+000	4.609623e+001	3.994943e+000	8.988623e+001
2.260000000000005e+001	5.146667e-001	1.163147e+001	1.973311e+000	4.459684e+001	3.915770e+000	8.849640e+001
2.270000000000005e+001	4.368720e-001	9.916994e+000	1.892627e+000	4.296263e+001	3.831074e+000	8.696539e+001
2.280000000000005e+001	3.536462e-001	8.063133e+000	1.806322e+000	4.118414e+001	3.740499e+000	8.528337e+001
2.290000000000006e+001	2.646350e-001	6.060141e+000	1.714032e+000	3.925134e+001	3.643663e+000	8.343988e+001
2.300000000000006e+001	1.694643e-001	3.897680e+000	1.615373e+000	3.715358e+001	3.540168e+000	8.142385e+001
2.310000000000006e+001	6.774015e-002	1.564797e+000	1.509939e+000	3.487959e+001	3.429593e+000	7.922359e+001
2.320000000000006e+001	-4.095252e-002	-9.500984e-001	1.397303e+000	3.241743e+001	3.311496e+000	7.682671e+001
2.330000000000006e+001	-1.570498e-001	-3.659261e+000	1.277018e+000	2.975453e+001	3.185414e+000	7.422015e+001
2.340000000000006e+001	-2.810096e-001	-6.575626e+000	1.148615e+000	2.687759e+001	3.050862e+000	7.139017e+001
2.350000000000006e+001	-4.133117e-001	-9.712826e+000	1.011601e+000	2.377261e+001	2.907331e+000	6.832228e+001
2.360000000000007e+001	-5.544581e-001	-1.308521e+001	8.654616e-001	2.042489e+001	2.754292e+000	6.500128e+001
2.370000000000007e+001	-7.049732e-001	-1.670786e+001	7.096618e-001	1.681898e+001	2.591191e+000	6.141123e+001
2.380000000000007e+001	-8.654032e-001	-2.059660e+001	5.436425e-001	1.293869e+001	2.417456e+000	5.753545e+001
2.390000000000007e+001	-1.036317e+000	-2.476798e+001	3.668234e-001	8.767079e+000	2.232489e+000	5.335650e+001
2.400000000000007e+001	-1.218305e+000	-2.923932e+001	1.786027e-001	4.286464e+000	2.035675e+000	4.885620e+001
2.410000000000007e+001	-1.411978e+000	-3.402868e+001	-2.164228e-002	-5.215789e-001	1.826376e+000	4.401566e+001
2.420000000000007e+001	-1.617969e+000	-3.915485e+001	-2.345539e-001	-5.676205e+000	1.603936e+000	3.881525e+001
2.430000000000008e+001	-1.836928e+000	-4.463736e+001	-4.607936e-001	-1.119729e+001	1.367681e+000	3.323464e+001
2.440000000000008e+001	-2.069526e+000	-5.049643e+001	-7.010403e-001	-1.710538e+001	1.116919e+000	2.725283e+001
2.450000000000008e+001	-2.316448e+000	-5.675298e+001	-9.559890e-001	-2.342173e+001	8.509469e-001	2.084820e+001
2.460000000000008e+001	-2.578397e+000	-6.342857e+001	-1.226349e+000	-3.016818e+001	5.690451e-001	1.399851e+001
2.470000000000008e+001	-2.856087e+000	-7.054536e+001	-1.512841e+000	-3.736717e+001	2.704852e-001	6.680985e+000
2.480000000000008e+001	-3.150246e+000	-7.812609e+001	-1.816197e+000	-4.504168e+001	-4.546968e-002	-1.127648e+000
2.490000000000008e+001	-3.461607e+000	-8.619401e+001	-2.137155e+000	-5.321517e+001	-3.795619e-001	-9.451091e+000
2.500000000000000e+001	-3.790911e+000	-9.477279e+001	-2.476459e+000	-6.191148e+001	-7.325363e-001	-1.831341e+001
