v1	I(V2)	Ix(x2:VF0)
1.020000000000001e+000	3.688414e+000	3.688414e+000
1.030000000000001e+000	3.685442e+000	3.685442e+000
1.040000000000001e+000	3.682454e+000	3.682454e+000
1.050000000000001e+000	3.679451e+000	3.679451e+000
1.060000000000001e+000	3.676431e+000	3.676431e+000
1.070000000000001e+000	3.673397e+000	3.673397e+000
1.080000000000001e+000	3.670346e+000	3.670346e+000
1.090000000000001e+000	3.667281e+000	3.667281e+000
1.100000000000001e+000	3.664200e+000	3.664200e+000
1.110000000000001e+000	3.661104e+000	3.661104e+000
1.120000000000001e+000	3.657993e+000	3.657993e+000
1.130000000000001e+000	3.654866e+000	3.654866e+000
1.140000000000001e+000	3.651725e+000	3.651725e+000
1.150000000000001e+000	3.648569e+000	3.648569e+000
1.160000000000001e+000	3.645398e+000	3.645398e+000
1.170000000000001e+000	3.642213e+000	3.642213e+000
1.180000000000001e+000	3.639013e+000	3.639013e+000
1.190000000000001e+000	3.635798e+000	3.635798e+000
1.200000000000001e+000	3.632569e+000	3.632569e+000
1.210000000000001e+000	3.629326e+000	3.629326e+000
1.220000000000001e+000	3.626069e+000	3.626069e+000
1.230000000000001e+000	3.622797e+000	3.622797e+000
1.240000000000001e+000	3.619512e+000	3.619512e+000
1.250000000000001e+000	3.616212e+000	3.616212e+000
1.260000000000001e+000	3.612899e+000	3.612899e+000
1.270000000000001e+000	3.609572e+000	3.609572e+000
1.280000000000001e+000	3.606232e+000	3.606232e+000
1.290000000000001e+000	3.602878e+000	3.602878e+000
1.300000000000001e+000	3.599511e+000	3.599511e+000
1.310000000000001e+000	3.596131e+000	3.596131e+000
1.320000000000001e+000	3.592737e+000	3.592737e+000
1.330000000000001e+000	3.589331e+000	3.589331e+000
1.340000000000001e+000	3.585912e+000	3.585912e+000
1.350000000000001e+000	3.582480e+000	3.582480e+000
1.360000000000001e+000	3.579035e+000	3.579035e+000
1.370000000000001e+000	3.575578e+000	3.575578e+000
1.380000000000001e+000	3.572109e+000	3.572109e+000
1.390000000000001e+000	3.568627e+000	3.568627e+000
1.400000000000001e+000	3.565133e+000	3.565133e+000
1.410000000000001e+000	3.561627e+000	3.561627e+000
1.420000000000001e+000	3.558110e+000	3.558110e+000
1.430000000000001e+000	3.554580e+000	3.554580e+000
1.440000000000001e+000	3.551039e+000	3.551039e+000
1.450000000000001e+000	3.547487e+000	3.547487e+000
1.460000000000001e+000	3.543923e+000	3.543923e+000
1.470000000000001e+000	3.540348e+000	3.540348e+000
1.480000000000001e+000	3.536762e+000	3.536762e+000
1.490000000000001e+000	3.533165e+000	3.533165e+000
1.500000000000001e+000	3.529557e+000	3.529557e+000
1.510000000000001e+000	3.525938e+000	3.525938e+000
1.520000000000001e+000	3.522309e+000	3.522309e+000
